offense,hfa,defense,ppa
Arizona,1.0,USC,2.7564060276074738
Arizona,1.0,USC,-0.160799124450488
Arizona,1.0,USC,-0.093321625768295
USC,-1.0,Arizona,-0.554796850971046
Arizona,1.0,USC,1.5150841981974468
Arizona,1.0,USC,-0.9114215282702052
USC,-1.0,Arizona,3.644776954213617
USC,-1.0,Arizona,0.076110368943329
Arizona,1.0,USC,2.859102444831101
Arizona,1.0,USC,0.3945082863191305
Arizona,1.0,USC,0.1956069877394565
Arizona,1.0,USC,2.513826842249442
USC,-1.0,Arizona,1.252308359788624
USC,-1.0,Arizona,0.2637435478933821
USC,-1.0,Arizona,1.0851891269722476
USC,-1.0,Arizona,0.4912921200875556
USC,-1.0,Arizona,-0.3017242413102413
Arizona,1.0,USC,-0.375732386813203
USC,-1.0,Arizona,-0.4751160960287848
USC,-1.0,Arizona,0.9249138619438542
USC,-1.0,Arizona,-0.1445206744011678
USC,-1.0,Arizona,-0.3709041703349048
USC,-1.0,Arizona,2.384424902379907
USC,-1.0,Arizona,1.468202650934877
USC,-1.0,Arizona,1.213235297672098
Arizona,1.0,USC,0.8350381090299867
Arizona,1.0,USC,-0.001213752774479
USC,-1.0,Arizona,0.095856923095079
USC,-1.0,Arizona,-0.1191687682313472
USC,-1.0,Arizona,-1.091197613624077
USC,-1.0,Arizona,1.7210707059811394
USC,-1.0,Arizona,-1.0093112073139319
Arizona State,-1.0,Colorado,0.5660691762792371
Arizona State,-1.0,Colorado,-1.7136955589353864
Arizona State,-1.0,Colorado,-0.549055779913328
Arizona State,-1.0,Colorado,2.3338902404479605
Colorado,1.0,Arizona State,0.9305625119459905
Colorado,1.0,Arizona State,0.1095374979928448
Colorado,1.0,Arizona State,0.5888709545151425
Colorado,1.0,Arizona State,0.0705787191666065
Colorado,1.0,Arizona State,-1.1100202271195148
Arizona State,-1.0,Colorado,-0.824229914711947
Arizona State,-1.0,Colorado,-1.0955888671820908
Arizona State,-1.0,Colorado,-0.1755370905391265
Colorado,1.0,Arizona State,0.7126813765378861
Colorado,1.0,Arizona State,-2.5273694623584895
Colorado,1.0,Arizona State,-0.1504912861657514
Colorado,1.0,Arizona State,0.1063468884312224
Colorado,1.0,Arizona State,0.911760131513409
Colorado,1.0,Arizona State,0.5921553797524695
Colorado,1.0,Arizona State,0.0745432474784075
Colorado,1.0,Arizona State,-0.197442184224519
Arizona State,-1.0,Colorado,1.3846699650971743
Arizona State,-1.0,Colorado,-0.2865976855574272
Arizona State,-1.0,Colorado,4.132391312079953
Colorado,1.0,Arizona State,1.124751479041831
Colorado,1.0,Arizona State,-1.7013581210185018
Colorado,1.0,Arizona State,-0.2671688950001805
Arizona State,-1.0,Colorado,-1.1451131808901334
Colorado,1.0,Arizona State,1.0588738877618429
Colorado,1.0,Arizona State,-0.2215463461942697
Arizona State,-1.0,Colorado,0.3333748010525683
Arizona State,-1.0,Colorado,-1.1611287423243868
Arizona State,-1.0,Colorado,0.0790402371080084
Arizona State,-1.0,Colorado,0.938021275120443
Arizona State,-1.0,Colorado,-0.4404078956667625
Arizona State,-1.0,Colorado,-0.7029700220436519
Colorado,1.0,Arizona State,-0.5761820489594704
Colorado,1.0,Arizona State,0.02929939618702893
Arizona State,-1.0,Colorado,0.698477649783843
Arizona State,-1.0,Colorado,-0.445785871283439
Arizona State,-1.0,Colorado,0.697165252193127
Arizona State,-1.0,Colorado,-0.386087920464643
Colorado,1.0,Arizona State,-0.4311967026252628
Colorado,1.0,Arizona State,-0.3832199271117691
Colorado,1.0,Arizona State,-0.162944112483623
Colorado,1.0,Arizona State,-0.583582209593514
Colorado,1.0,Arizona State,0.5386704814986452
Colorado,1.0,Arizona State,1.7032533008895268
Arizona State,-1.0,Colorado,-0.24856252157946201
Arizona State,-1.0,Colorado,-1.1590089706435955
Arizona State,-1.0,Colorado,0.1981539364012105
Arizona State,-1.0,Colorado,-0.5061751830160085
Colorado,1.0,Arizona State,-0.1350508541150131
Colorado,1.0,Arizona State,0.3370848727167229
Colorado,1.0,Arizona State,0.4987994509272262
Colorado,1.0,Arizona State,-0.193673324211422
Colorado,1.0,Arizona State,0.153150238838187
Colorado,1.0,Arizona State,2.45399822917955
Arizona State,-1.0,Colorado,-0.8852575132705454
Arizona State,-1.0,Colorado,-0.2998197513820786
Arizona State,-1.0,Colorado,-0.6425305871127751
Arizona State,-1.0,Colorado,-0.8530905486726476
Arizona State,-1.0,Colorado,2.9488745249712354
Arizona State,-1.0,Colorado,-0.7519361608312708
Arizona State,-1.0,Colorado,-0.997862741785365
Arizona State,-1.0,Colorado,-0.8836979478990745
